channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
CalvinHarrisVEVO,10,4850078,146460,8649,4896,13.09,,,,,,,,,,
Courtelizz1,26,108839,3677,107,732,13.09,,,,,,,,,,
AnthonyPadilla,23,614717,49443,1986,3970,13.09,,,,,,,,,,
AsapSCIENCE,28,1244953,29748,2639,4112,13.09,,,,,,,,,,
Aaron Esser,24,1862718,21516,1960,2108,13.09,,,,,,,,,,
GEazyMusicVEVO,10,2114219,77679,1874,4529,13.09,,,,,,,,,,
Big Ten Network,17,11533,51,7,29,13.09,,,,,,,,,,
stere0123,19,109422,200,14,0,13.09,,,,,,,,,,
Netflix,24,349856,4403,140,335,13.09,,,,,,,,,,
Anna Akana,23,447037,25068,710,1299,13.09,,,,,,,,,,
Chris Stuckmann,24,226012,9353,156,1282,13.09,,,,,,,,,,
FifthHarmonyVEVO,10,3998451,291383,11624,24246,13.09,,,,,,,,,,
Concert Daily,10,82199,1194,51,194,13.09,,,,,,,,,,
Complex News,24,41962,1445,50,268,13.09,,,,,,,,,,
ZaynVEVO,10,36323498,1431683,28049,100661,13.09,,,,,,,,,,
Fox News,25,25652,73,11,62,13.09,,,,,,,,,,
RAW,22,7563,344,1,21,13.09,,,,,,,,,,
Green Day,10,845694,64515,625,4325,13.09,,,,,,,,,,
Hailee Steinfeld,22,316616,10084,104,331,13.09,,,,,,,,,,
Kelly Clarkson,10,3027926,76505,2880,6414,13.09,,,,,,,,,,
SuperCarlinBrothers,22,463409,19286,393,2304,13.09,,,,,,,,,,
WKRG,25,4761358,50802,1128,8606,13.09,,,,,,,,,,
ThomasRhettVEVO,10,376381,8909,170,334,13.09,,,,,,,,,,
Deadline Hollywood,24,30851,261,65,49,13.09,,,,,,,,,,
PTZtv,25,13752002,46101,4898,0,13.09,,,,,,,,,,
AvengedSevenfoldVEVO,10,433708,24188,712,2383,13.09,,,,,,,,,,
IISuperwomanII,23,2465146,179085,1567,11973,13.09,,,,,,,,,,
AT&T,10,836472,19314,1206,0,13.09,,,,,,,,,,
Madeyewlook,26,599780,29851,299,453,13.09,,,,,,,,,,
LecraeVEVO,10,106186,4695,193,396,13.09,,,,,,,,,,
Linus Tech Tips,28,626600,20553,1033,2138,13.09,,,,,,,,,,
Amber Scholl,26,384682,21302,353,1559,13.09,,,,,,,,,,
Mr. Kate,26,2451184,176110,1017,6257,13.09,,,,,,,,,,
R3HAB,10,480279,26662,241,557,13.09,,,,,,,,,,
Simon's Cat,15,189414,7070,112,288,13.09,,,,,,,,,,
TIME,25,103666,196,67,80,13.09,,,,,,,,,,
TIFF,1,74494,2218,37,159,13.09,,,,,,,,,,
Alexis Ohanian,28,1110865,11255,1817,3631,14.09,,,,,,,,,,
Norm Krumpe,22,235562,1801,78,96,14.09,,,,,,,,,,
Team Coco,23,1798895,26425,465,2278,14.09,,,,,,,,,,
Apple,28,12200526,258842,44339,0,14.09,,,,,,,,,,
Logan Paul Vlogs,24,5457497,349857,17479,52483,14.09,,,,,,,,,,
The Verge,28,3654879,30836,6101,16713,14.09,,,,,,,,,,
Brave Wilderness,15,1398322,35880,619,6246,14.09,,,,,,,,,,
LanaDelReyVEVO,10,1568852,174771,2166,19191,14.09,,,,,,,,,,
Disney•Pixar,1,558820,4847,259,1083,14.09,,,,,,,,,,
iJustine,28,761705,32608,1562,6864,14.09,,,,,,,,,,
PewDiePie,22,6997601,626155,46445,190979,14.09,,,,,,,,,,
Bad Lip Reading,23,504827,29220,457,2233,14.09,,,,,,,,,,
Comedy Central,23,580441,2520,533,977,14.09,,,,,,,,,,
jacksfilms,23,2084309,128402,1136,8733,14.09,,,,,,,,,,
The Tonight Show Starring Jimmy Fallon,23,909358,14539,672,1353,14.09,,,,,,,,,,
Late Night with Seth Meyers,23,1119034,12843,560,1367,14.09,,,,,,,,,,
Marques Brownlee,28,3087549,93812,3067,19758,14.09,,,,,,,,,,
Vox,25,380266,11558,1286,1783,14.09,,,,,,,,,,
TP Clips 8,25,83219,157,190,406,14.09,,,,,,,,,,
A24,1,1673317,40496,678,3915,14.09,,,,,,,,,,
MTV,24,393968,10053,596,1191,14.09,,,,,,,,,,
America's Got Talent,24,990274,22897,639,2430,14.09,,,,,,,,,,
The CW Television Network,24,86119,1835,18,230,14.09,,,,,,,,,,
FergieVEVO,10,1668188,88182,5893,7373,14.09,,,,,,,,,,
Awkward Puppets,23,705475,34506,549,3180,14.09,,,,,,,,,,
boogie2988,24,515740,37881,538,8313,14.09,,,,,,,,,,
ESPN,17,367178,5296,199,2422,14.09,,,,,,,,,,
Jonathan Morrison,28,751902,22556,870,4638,14.09,,,,,,,,,,
Screen Junkies,1,1341911,33111,1035,4709,14.09,,,,,,,,,,
Wong Fu Productions,24,413029,18228,404,1671,14.09,,,,,,,,,,
RomanAtwoodVlogs,22,1637683,76343,936,6052,14.09,,,,,,,,,,
Watch What Happens Live with Andy Cohen,24,87153,220,43,115,14.09,,,,,,,,,,
CollegeHumor,23,1130469,39886,876,2347,14.09,,,,,,,,,,
The Late Late Show with James Corden,24,378178,25046,1112,2510,14.09,,,,,,,,,,
minutephysics,28,292585,16909,325,1845,14.09,,,,,,,,,,
TMZ,24,41452,485,244,318,14.09,,,,,,,,,,
Unbox Therapy,28,2741837,72782,7146,18239,14.09,,,,,,,,,,
You Suck At Cooking,26,586091,26816,778,2165,14.09,,,,,,,,,,
Paramount Pictures,1,2995809,9467,371,1709,14.09,,,,,,,,,,
UrAvgConsumer,28,712467,33015,863,4018,14.09,,,,,,,,,,
Kid Rock,10,159643,4389,651,603,14.09,,,,,,,,,,
ProZD,1,1805185,72625,1714,4056,14.09,,,,,,,,,,
Claire Marshall,22,71109,4127,50,299,14.09,,,,,,,,,,
Radiohead,10,1091878,49500,538,3886,14.09,,,,,,,,,,
Demi Lovato News,22,53673,1208,45,118,14.09,,,,,,,,,,
Al Jazeera English,25,396448,1557,292,1368,14.09,,,,,,,,,,
tkvids,10,50518,1237,30,118,14.09,,,,,,,,,,
Dude Perfect,17,11475555,398514,8158,24861,14.09,,,,,,,,,,
Wendover Productions,27,772128,21783,813,2839,14.09,,,,,,,,,,
SUPERFRUIT,24,310527,23994,373,2224,14.09,,,,,,,,,,
USA TODAY,25,232505,498,793,642,14.09,,,,,,,,,,
Ford Motor Company,2,22004,38,15,6,14.09,,,,,,,,,,
Amy Macedo,26,55614,2433,84,453,14.09,,,,,,,,,,
The xx,10,111776,4857,68,311,14.09,,,,,,,,,,
WatchCut Video,24,240156,7977,189,798,14.09,,,,,,,,,,
NTK Network,22,17777,15,0,6,14.09,,,,,,,,,,
ImagineDragonsVEVO,10,478747,54551,306,3702,14.09,,,,,,,,,,
THE RESISTANCE Mind Tripper,25,19105,154,20,20,14.09,,,,,,,,,,
Alvaro Veloz,10,13459,223,2,23,14.09,,,,,,,,,,
First We Feast,26,579532,17845,277,1852,14.09,,,,,,,,,,
Engadget,28,65650,403,57,175,14.09,,,,,,,,,,
NFL,17,829793,6501,386,2582,14.09,,,,,,,,,,
grav3yardgirl,26,429138,18017,343,3900,14.09,,,,,,,,,,
Stone Sour,10,91333,6871,183,705,14.09,,,,,,,,,,
CinemaSins,1,1461358,35312,1062,6077,14.09,,,,,,,,,,
The Scran Line,26,22490,1939,15,156,14.09,,,,,,,,,,
DepecheModeVEVO,10,93030,6162,81,564,14.09,,,,,,,,,,
