channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
St. Vincent,10,301611,7575,336,645,6.1,,,,,,,,,,
Oats Studios,1,445401,19134,165,1523,6.1,,,,,,,,,,
Jamie Genevieve,22,80752,3825,116,206,6.1,,,,,,,,,,
Courtelizz1,26,50873,2510,68,973,6.1,,,,,,,,,,
Arden Rose,1,58230,3742,79,232,6.1,,,,,,,,,,
The Dodo,15,190430,9244,45,736,6.1,,,,,,,,,,
Rock & Roll Hall of Fame,10,719712,4763,116,767,6.1,,,,,,,,,,
Unbox Therapy,28,479196,9690,578,553,6.1,,,,,,,,,,
The Illusion contest,27,24336,11,6,1,6.1,,,,,,,,,,
Great Big Story,22,145197,2745,79,331,6.1,,,,,,,,,,
TODAY,25,45266,600,50,150,6.1,,,,,,,,,,
69 detik,25,106033,454,28,67,6.1,,,,,,,,,,
"BLOODHOUND SSC - 1,000 mph car",28,11227,139,8,25,6.1,,,,,,,,,,
The Scran Line,26,33009,2360,15,195,6.1,,,,,,,,,,
How To Cake It,26,679124,25483,425,12984,6.1,,,,,,,,,,
OCDetailing,2,132592,1606,284,446,6.1,,,,,,,,,,
Kim Roberts,10,292870,1578,39,382,6.1,,,,,,,,,,
Chubbyemu,28,708093,11944,488,1334,6.1,,,,,,,,,,
KTNV Channel 13 Las Vegas,25,1533366,4216,833,7684,6.1,,,,,,,,,,
Vogue,22,140087,1854,128,177,6.1,,,,,,,,,,
VolkswagenDanmark,2,107986,228,26,44,6.1,,,,,,,,,,
ユカイ工学,26,9941,12,1,0,6.1,,,,,,,,,,
Business Insider,25,15971,82,177,259,6.1,,,,,,,,,,
OfficialGucciMane,10,989928,36896,699,2433,6.1,,,,,,,,,,
Rosanna Pansino,26,415659,20304,248,5857,6.1,,,,,,,,,,
TP Clips 8,25,22041,37,83,75,6.1,,,,,,,,,,
PsychoSoprano,23,632725,46942,355,6762,6.1,,,,,,,,,,
LastWeekTonight,24,3661676,71388,1893,4518,6.1,,,,,,,,,,
consumer,23,518412,5333,867,749,6.1,,,,,,,,,,
IISuperwomanII,23,1259280,87970,1034,7936,6.1,,,,,,,,,,
TRL,24,85478,1213,240,316,6.1,,,,,,,,,,
Kevin Durant,22,108392,2942,228,435,6.1,,,,,,,,,,
XtremeTeamTV,17,31924,19,14,5,6.1,,,,,,,,,,
ColdFusion,28,247922,11985,273,2332,6.1,,,,,,,,,,
ConnorFranta,22,134363,20858,101,1334,6.1,,,,,,,,,,
Las Vegas Metropolitan Police,27,477967,0,0,0,6.1,,,,,,,,,,
Complex,24,806858,24111,1388,3554,6.1,,,,,,,,,,
NBC News,25,949078,2335,943,0,6.1,,,,,,,,,,
NightHawkInLight,27,88200,4450,35,389,6.1,,,,,,,,,,
Storyful Rights Management,24,364644,772,111,130,6.1,,,,,,,,,,
CaseyNeistat,22,1319110,85402,2427,6931,6.1,,,,,,,,,,
Binging with Babish,24,214254,8348,106,729,6.1,,,,,,,,,,
kaptainkristian,22,248774,19546,138,1654,6.1,,,,,,,,,,
CNET,43,8259,111,8,37,6.1,,,,,,,,,,
Katy Perry,1,0,0,0,0,6.1,,,,,,,,,,
YBF Chic,24,5662,33,21,13,6.1,,,,,,,,,,
Lorraine,24,37649,147,7,0,6.1,,,,,,,,,,
sWooZie,24,1893744,79385,2538,5301,6.1,,,,,,,,,,
Dancing With The Stars,24,139391,2500,34,179,6.1,,,,,,,,,,
Nobel Prize,27,63766,398,9,18,6.1,,,,,,,,,,
HaimVEVO,10,353144,16508,386,811,6.1,,,,,,,,,,
INSIDER,15,71307,2924,31,275,6.1,,,,,,,,,,
Inside Edition,25,542255,5135,1336,2222,6.1,,,,,,,,,,
Jaiden Animations,1,2266878,140428,1013,23527,6.1,,,,,,,,,,
Nini McNean,10,92425,689,15,165,6.1,,,,,,,,,,
Ingrid Nilsen,26,166185,5835,361,997,6.1,,,,,,,,,,
PBS NewsHour,25,54759,335,554,0,6.1,,,,,,,,,,
New Mexico Lobos,17,4416,23,5,14,6.1,,,,,,,,,,
NFL,17,738058,5990,291,874,6.1,,,,,,,,,,
NPR Music,10,181611,5199,56,289,6.1,,,,,,,,,,
Dan Patrick Show,17,12768,75,4,21,6.1,,,,,,,,,,
Domics,23,1987959,150289,921,13857,6.1,,,,,,,,,,
ABC Action News,25,184133,668,128,1916,6.1,,,,,,,,,,
Random Ryan,23,269787,1251,2568,1806,6.1,,,,,,,,,,
The Mom's View,22,210829,10279,199,2693,6.1,,,,,,,,,,
ShaniaTwainVEVO,10,16827,584,17,36,6.1,,,,,,,,,,
IIHS,2,28144,287,5,0,6.1,,,,,,,,,,
Ashley Tisdale,10,154875,17374,45,910,6.1,,,,,,,,,,
Refinery29,26,9002,350,4,28,6.1,,,,,,,,,,
Becky G México,10,57009,590,14,45,6.1,,,,,,,,,,
BBC Radio 1,10,1635293,47877,317,1199,6.1,,,,,,,,,,
Tom Scott,27,261261,14061,35,999,6.1,,,,,,,,,,
Vanderbilt Athletics,17,706,6,0,0,6.1,,,,,,,,,,
Tech Insider,28,211249,4206,223,482,6.1,,,,,,,,,,
Jack and Dean,23,226828,24381,200,1022,6.1,,,,,,,,,,
ESPN,17,3498,22,4,15,6.1,,,,,,,,,,
Liza Koshy Too,23,2137378,178291,886,4245,6.1,,,,,,,,,,
No Surrender Productions,1,83634,52,42,52,6.1,,,,,,,,,,
CrazyLaughAction,24,2143,16,2,4,6.1,,,,,,,,,,
KHOU 11,22,47100,170,13,52,6.1,,,,,,,,,,
FreeDawkins,17,308947,1337,49,383,6.1,,,,,,,,,,
Thorn,29,5343,133,0,21,6.1,,,,,,,,,,
BUILD Series,24,1098,3,0,0,6.1,,,,,,,,,,
Washington Post,25,82566,74,120,6,6.1,,,,,,,,,,
Evelyn From The Internets,23,31797,5791,14,738,6.1,,,,,,,,,,
SciShow,27,387465,15066,305,870,6.1,,,,,,,,,,
grav3yardgirl,26,338856,22400,187,3286,6.1,,,,,,,,,,
Quartz,25,113606,2134,37,98,6.1,,,,,,,,,,
Grand Ole Opry,10,4431163,23364,1180,1633,7.1,,,,,,,,,,
Legendary,1,1218645,22373,3031,6104,7.1,,,,,,,,,,
Atlantic Records,10,904859,43742,1007,3212,7.1,,,,,,,,,,
Hulu,24,552893,2297,246,631,7.1,,,,,,,,,,
The Tonight Show Starring Jimmy Fallon,23,1803613,36000,1134,4484,7.1,,,,,,,,,,
The Graham Norton Show,24,216880,3133,221,330,7.1,,,,,,,,,,
NFVEVO,10,368198,32443,323,4701,7.1,,,,,,,,,,
Gus Johnson,23,751066,29670,1007,1769,7.1,,,,,,,,,,
vlogbrothers,22,175173,10573,180,1282,7.1,,,,,,,,,,
KaneBrownVEVO,10,278787,15100,259,867,7.1,,,,,,,,,,
Simon's Cat,15,158078,9548,109,414,7.1,,,,,,,,,,
BBC News,25,1227316,4415,2334,6323,7.1,,,,,,,,,,
First We Feast,26,3866789,168343,1750,24438,7.1,,,,,,,,,,
Anwar Jibawi,23,2298865,91148,2078,5038,7.1,,,,,,,,,,
Jimmy Kimmel Live,24,543107,10039,221,1074,7.1,,,,,,,,,,
Lin-Manuel Miranda - Topic,10,86437,3878,130,338,7.1,,,,,,,,,,
Rudy Mancuso,23,970218,112619,1538,10398,7.1,,,,,,,,,,
The Late Late Show with James Corden,24,337673,6942,149,544,7.1,,,,,,,,,,
Team Coco,23,885381,26748,673,2170,7.1,,,,,,,,,,
CrazyRussianHacker,28,1049659,24557,763,2856,7.1,,,,,,,,,,
Liza Koshy,23,4040634,314985,7246,14351,7.1,,,,,,,,,,
CinemaSins,1,819832,19769,444,2963,7.1,,,,,,,,,,
SUPERFRUIT,24,134913,18679,85,2921,7.1,,,,,,,,,,
ExplosmEntertainment,23,1332167,53198,3279,3075,7.1,,,,,,,,,,
ABC News,25,630163,2045,1137,3947,7.1,,,,,,,,,,
AsapSCIENCE,28,558120,24284,477,2020,7.1,,,,,,,,,,
Jaclyn Hill,26,947958,62202,2034,6726,7.1,,,,,,,,,,
Patricia Bright,26,307372,14642,222,2137,7.1,,,,,,,,,,
Kurzgesagt – In a Nutshell,27,1613455,97388,710,8278,7.1,,,,,,,,,,
This Morning,24,3351704,41566,1060,0,7.1,,,,,,,,,,
SamSmithWorldVEVO,10,2370549,132138,1025,7705,7.1,,,,,,,,,,
BuzzFeed News,22,111768,394,3230,2114,7.1,,,,,,,,,,
Greg and Mitch,27,131528,4477,582,611,7.1,,,,,,,,,,
ToveLoVEVO,10,340532,16560,514,1715,7.1,,,,,,,,,,
Saturday Night Live,24,151550,2813,87,262,7.1,,,,,,,,,,
TimandFaithVEVO,10,56588,1124,22,87,7.1,,,,,,,,,,
Al Jazeera English,25,516451,1708,595,2164,7.1,,,,,,,,,,
NBA Highlights · YouTube,17,39243,45,666,409,7.1,,,,,,,,,,
Wendy Williams,24,245452,4895,264,1390,7.1,,,,,,,,,,
Hunter Hayes,10,18890,1946,17,186,7.1,,,,,,,,,,
The Mom's View,22,27197,1895,48,333,7.1,,,,,,,,,,
Peter Hollens,10,54978,6692,38,1433,7.1,,,,,,,,,,
SuperCarlinBrothers,22,177463,9034,195,2727,7.1,,,,,,,,,,
SORTEDfood,26,64770,2610,35,257,7.1,,,,,,,,,,
TIME,25,91894,384,786,1717,7.1,,,,,,,,,,
JennaMarbles,23,2311050,173181,1011,20223,7.1,,,,,,,,,,
Full Frontal with Samantha Bee,22,483955,6922,1381,1255,7.1,,,,,,,,,,
Koenigsegg,2,2284505,36644,1069,5771,7.1,,,,,,,,,,
Vox,25,788443,20211,5358,7274,7.1,,,,,,,,,,
Life Noggin,27,378704,14638,234,3394,7.1,,,,,,,,,,
Freestyle Digital Media,1,203794,835,46,111,7.1,,,,,,,,,,
PinkVEVO,10,660295,43091,369,1923,7.1,,,,,,,,,,
Chris and Jack,23,35539,2074,13,157,7.1,,,,,,,,,,
CBS Los Angeles,25,92072,214,74,732,7.1,,,,,,,,,,
Nukazooka,24,122479,8529,81,531,7.1,,,,,,,,,,
Late Night with Seth Meyers,23,25770,402,3,41,7.1,,,,,,,,,,
CollegeHumor,23,1685518,51340,17849,21194,7.1,,,,,,,,,,
colinfurze,2,1021496,29219,912,2191,7.1,,,,,,,,,,
The Oregonian,25,480557,998,348,0,7.1,,,,,,,,,,
Las Vegas Metropolitan Police,27,8764,0,0,0,7.1,,,,,,,,,,
SYFY,24,88111,924,25,109,7.1,,,,,,,,,,
Sony Pictures Entertainment,24,204518,462,20,54,7.1,,,,,,,,,,
schmoyoho,10,72414,6231,70,854,7.1,,,,,,,,,,
HBO,1,8465,121,5,10,7.1,,,,,,,,,,
CBC News,25,88573,721,40,182,7.1,,,,,,,,,,
Marques Brownlee,28,2426245,68771,1935,12808,7.1,,,,,,,,,,
Charlie Puth,10,1578921,135599,809,12107,7.1,,,,,,,,,,
The Mighty EROCK,22,8911,180,60,69,7.1,,,,,,,,,,
Made by Google,28,2226623,0,0,0,7.1,,,,,,,,,,
Refinery29,26,8421,468,7,52,7.1,,,,,,,,,,
Maroon5VEVO,10,847355,52755,962,2597,7.1,,,,,,,,,,
Chance The Rapper,10,0,0,0,201,7.1,,,,,,,,,,
Meet Arnold,22,1882349,56964,2261,8609,7.1,,,,,,,,,,
The School of Life,27,160699,8506,130,596,7.1,,,,,,,,,,
Proximity,24,184720,12743,110,360,7.1,,,,,,,,,,
Funny Local News,20,7088,76,37,43,7.1,,,,,,,,,,
Mike Boyd,24,294384,10128,158,1926,7.1,,,,,,,,,,
ChrisFix,2,742438,29236,640,3656,7.1,,,,,,,,,,
Watch What Happens Live with Andy Cohen,24,473137,1693,2397,1116,7.1,,,,,,,,,,
SMTOWN,10,358661,76288,444,8208,7.1,,,,,,,,,,
Lukas Graham,10,89915,5189,110,608,7.1,,,,,,,,,,
TMZSports,17,262554,103,165,462,7.1,,,,,,,,,,
Nissan USA,2,55878,135,0,9,7.1,,,,,,,,,,
Good Morning America,24,46519,63,4,19,7.1,,,,,,,,,,
Teen Vogue,24,1284927,56435,303,2358,7.1,,,,,,,,,,
The New York Times,25,4442,123,21,62,7.1,,,,,,,,,,
Roll Call,25,132101,1843,39,213,7.1,,,,,,,,,,
The Late Show with Stephen Colbert,24,215362,2557,67,300,7.1,,,,,,,,,,
Breakfast Club Power 105.1 FM,24,350998,4830,458,1746,7.1,,,,,,,,,,
Nerdwriter1,24,770604,29356,1163,2938,7.1,,,,,,,,,,
Brian Tyler Cohen,24,37730,259,33,39,7.1,,,,,,,,,,
Netflix,24,159115,4573,46,219,7.1,,,,,,,,,,
TheEllenShow,24,2070498,36928,1032,2469,7.1,,,,,,,,,,
Lauv,10,172394,13303,80,854,7.1,,,,,,,,,,
GraceVanderWaalVEVO,10,232668,26386,140,3198,7.1,,,,,,,,,,
LewisCapaldiVEVO,10,40704,4271,12,300,7.1,,,,,,,,,,
Shay Mitchell,26,80615,5889,63,646,7.1,,,,,,,,,,
Miley's Darwin,10,82309,217,32,41,7.1,,,,,,,,,,
BuzzFeedBlue,22,856666,13111,1144,1619,7.1,,,,,,,,,,
The Infographics Show,27,138331,4803,197,1492,7.1,,,,,,,,,,
Jeremy Jahns,24,360825,13395,496,1916,7.1,,,,,,,,,,
ViralHog,22,65608,144,14,56,7.1,,,,,,,,,,
MyHarto,26,50434,3743,20,300,7.1,,,,,,,,,,
Mashd N Kutcher,10,44816,2855,35,236,7.1,,,,,,,,,,
Malec,23,557734,18713,223,1965,7.1,,,,,,,,,,
Jordan Hanz,26,76525,5848,49,427,7.1,,,,,,,,,,
Nile Wilson,17,87948,6521,25,423,7.1,,,,,,,,,,
DariusRuckerVEVO,10,13395,884,8,55,7.1,,,,,,,,,,
Strictly Dumpling,19,321059,8124,241,1199,7.1,,,,,,,,,,
Hannah Stocking,23,2312370,78409,2114,2936,7.1,,,,,,,,,,
BonusXP,20,222252,646,33,62,7.1,,,,,,,,,,
Tinder,24,878924,0,0,0,7.1,,,,,,,,,,
LegallyArmedAmerica,24,681981,4256,3885,4996,7.1,,,,,,,,,,
Amber Scholl,26,398911,17946,351,2059,7.1,,,,,,,,,,
LaurDIY,26,1325311,55505,651,8340,7.1,,,,,,,,,,
ABC Television Network,24,31813,474,8,28,7.1,,,,,,,,,,
Mental Floss,27,76782,1808,38,360,7.1,,,,,,,,,,
Christen Dominique,26,415364,24457,246,3001,7.1,,,,,,,,,,
WatchCut Video,24,1467904,32293,468,1356,7.1,,,,,,,,,,
iJustine,22,164801,6599,333,1104,7.1,,,,,,,,,,
James Charles,24,774603,52238,1071,4994,7.1,,,,,,,,,,
The Verge,28,589482,8918,511,1530,7.1,,,,,,,,,,
Guardian Wires,25,801292,4981,668,1742,7.1,,,,,,,,,,
jacksfilms,23,1316980,101402,3779,7796,7.1,,,,,,,,,,
WIRED,28,272377,4681,190,989,7.1,,,,,,,,,,
The Illusion contest,27,46592,15,8,1,7.1,,,,,,,,,,
UrAvgConsumer,28,200036,8396,205,1440,7.1,,,,,,,,,,
AvE,28,163669,5043,78,1346,7.1,,,,,,,,,,
Citron Research,22,42343,0,0,0,7.1,,,,,,,,,,
weezer,10,65478,2374,85,579,7.1,,,,,,,,,,
Melodica Men,10,29819,1372,10,139,7.1,,,,,,,,,,
GRAN TURISMO TV,2,69975,2014,54,384,7.1,,,,,,,,,,
ANDREW HUANG,10,345625,10466,613,2209,7.1,,,,,,,,,,
The Daily Show with Trevor Noah,23,3506700,59865,8911,12833,7.1,,,,,,,,,,
The View,24,77974,1037,21,319,7.1,,,,,,,,,,
Jukin Media,15,14353,0,0,0,7.1,,,,,,,,,,
The Academic,10,1000413,30182,456,852,7.1,,,,,,,,,,
CNNMoney,25,156808,587,6497,1319,7.1,,,,,,,,,,
theflippist,1,1935362,31794,750,1058,7.1,,,,,,,,,,
Pittsburgh Dad,23,115744,2715,226,324,7.1,,,,,,,,,,
ONE Media,1,127900,345,42,49,7.1,,,,,,,,,,
NBA Conference,17,47825,209,9,73,7.1,,,,,,,,,,
FergieVEVO,10,456932,19939,727,1368,7.1,,,,,,,,,,
RAW,22,5576,332,0,44,7.1,,,,,,,,,,
clothesencounters,26,212204,7556,259,1258,7.1,,,,,,,,,,
Good Mythical Morning,23,1649221,35635,725,2642,7.1,,,,,,,,,,
Chris Goossens,19,61311,25,5,4,7.1,,,,,,,,,,
Madelaine Petsch,22,148840,12885,45,737,7.1,,,,,,,,,,
Norm Macdonald,23,616517,9161,507,4807,7.1,,,,,,,,,,
Philip DeFranco,24,1874632,103337,3123,20028,7.1,,,,,,,,,,
영국남자 Korean Englishman,23,645693,9627,250,2602,7.1,,,,,,,,,,
USA TODAY,25,83500,176,73,215,7.1,,,,,,,,,,
Linkin Park,10,1911020,165624,1101,11456,7.1,,,,,,,,,,
Screen Junkies,1,1281630,28516,1232,4382,7.1,,,,,,,,,,
Giaco Whatever,24,61540,2288,250,393,7.1,,,,,,,,,,
TED-Ed,27,302361,12581,123,522,7.1,,,,,,,,,,
Mayim Bialik,1,28585,3021,36,405,7.1,,,,,,,,,,
Amazon Video,24,100167,626,77,80,7.1,,,,,,,,,,
MarenMorris,22,1267050,0,0,718,7.1,,,,,,,,,,
Courtelizz1,26,55279,2637,69,1050,7.1,,,,,,,,,,
The Dodo,15,223614,9803,49,600,7.1,,,,,,,,,,
St. Vincent,10,342616,8198,363,597,7.1,,,,,,,,,,
ESPN,17,37476,302,15,72,7.1,,,,,,,,,,
Vogue,22,180637,2002,138,192,7.1,,,,,,,,,,
Oats Studios,1,540159,21411,186,1496,7.1,,,,,,,,,,
thebrainscoop,27,23851,1984,17,353,7.1,,,,,,,,,,
GameofThrones,1,229926,4753,329,362,7.1,,,,,,,,,,
Jamie Genevieve,22,94113,4241,127,218,7.1,,,,,,,,,,
Carolina Panthers,17,23614,183,16,181,7.1,,,,,,,,,,
TODAY,25,59605,813,60,138,7.1,,,,,,,,,,
Katy Perry,1,0,0,0,0,7.1,,,,,,,,,,
Nobel Prize,27,65134,406,9,18,7.1,,,,,,,,,,
ユカイ工学,26,12930,13,1,0,7.1,,,,,,,,,,
69 detik,25,115309,498,31,77,7.1,,,,,,,,,,
Rock & Roll Hall of Fame,10,754178,4930,123,759,7.1,,,,,,,,,,
Kim Roberts,10,302819,1613,39,403,7.1,,,,,,,,,,
OCDetailing,2,153415,1729,327,359,7.1,,,,,,,,,,
How To Cake It,26,744019,26747,462,11826,7.1,,,,,,,,,,
NARLtv,24,3640,52,5,20,7.1,,,,,,,,,,
Unbox Therapy,28,497292,9834,590,615,7.1,,,,,,,,,,
Chubbyemu,28,733187,12590,505,1432,7.1,,,,,,,,,,
OfficialGucciMane,10,1445599,46752,947,2937,7.1,,,,,,,,,,
KTNV Channel 13 Las Vegas,25,1539430,4225,842,7695,7.1,,,,,,,,,,
Business Insider,25,16252,82,178,211,7.1,,,,,,,,,,
Blake Shelton,10,62826,1406,41,90,7.1,,,,,,,,,,
TP Clips 8,25,22308,37,84,60,7.1,,,,,,,,,,
Rosanna Pansino,26,457152,21125,260,6316,7.1,,,,,,,,,,
The Scran Line,26,37807,2560,16,216,7.1,,,,,,,,,,
Kevin Durant,22,126534,3137,267,427,7.1,,,,,,,,,,
IISuperwomanII,23,1326341,91024,1053,8039,7.1,,,,,,,,,,
consumer,23,531136,5421,883,741,7.1,,,,,,,,,,
TRL,24,86274,1248,240,319,7.1,,,,,,,,,,
ShaniaTwainVEVO,10,20873,620,18,32,7.1,,,,,,,,,,
CNET,43,8726,114,9,37,7.1,,,,,,,,,,
ColdFusion,28,264945,12398,289,2449,7.1,,,,,,,,,,
weatherguru76,2,12284,30,0,8,7.1,,,,,,,,,,
LastWeekTonight,24,3774065,72496,1943,4606,7.1,,,,,,,,,,
XtremeTeamTV,17,46954,27,14,6,7.1,,,,,,,,,,
PsychoSoprano,23,718813,49746,399,7263,7.1,,,,,,,,,,
Complex,24,899998,25633,1672,3873,7.1,,,,,,,,,,
Saturday Night Live,24,27721,2050,146,356,8.1,,,,,,,,,,
Grand Ole Opry,10,5389625,31170,2547,2651,8.1,,,,,,,,,,
Atlantic Records,10,1802878,71780,2124,5772,8.1,,,,,,,,,,
Legendary,1,2839775,37111,5271,11416,8.1,,,,,,,,,,
amc,24,28663,2093,59,521,8.1,,,,,,,,,,
Hulu,24,1312271,5471,823,1671,8.1,,,,,,,,,,
Jake Paul,22,3291878,141657,26160,36600,8.1,,,,,,,,,,
The Graham Norton Show,24,546410,5417,566,755,8.1,,,,,,,,,,
ASMR Darling,24,643706,41868,1454,8267,8.1,,,,,,,,,,
The Tonight Show Starring Jimmy Fallon,23,1760344,43178,1079,2359,8.1,,,,,,,,,,
Mickey Mouse,1,341798,6119,302,1128,8.1,,,,,,,,,,
Simply Nailogical,24,778207,48901,452,5887,8.1,,,,,,,,,,
Food Wishes,26,174811,6279,132,665,8.1,,,,,,,,,,
Rosanna Pansino,26,345150,19089,189,3730,8.1,,,,,,,,,,
Amazon Video,24,491918,981,83,160,8.1,,,,,,,,,,
Vox,25,273339,10137,323,1499,8.1,,,,,,,,,,
Safiya Nygaard,22,1869172,74210,831,5253,8.1,,,,,,,,,,
Simon's Cat,15,341350,13848,195,656,8.1,,,,,,,,,,
vlogbrothers,22,338389,13985,386,1590,8.1,,,,,,,,,,
NFVEVO,10,653747,43821,615,6172,8.1,,,,,,,,,,
KaneBrownVEVO,10,549738,24063,515,1171,8.1,,,,,,,,,,
Huckabee,25,14274,0,0,0,8.1,,,,,,,,,,
Rudy Mancuso,23,1650832,151908,2440,13639,8.1,,,,,,,,,,
James Charles,24,993776,56388,1148,2533,8.1,,,,,,,,,,
iJustine,22,416911,18385,1073,8244,8.1,,,,,,,,,,
BuzzFeed Celeb,22,93013,3084,168,236,8.1,,,,,,,,,,
MyLifeAsEva,26,1131977,69162,1957,8694,8.1,,,,,,,,,,
Gus Johnson,23,961835,36234,1249,2226,8.1,,,,,,,,,,
Jimmy Kimmel Live,24,949562,15092,406,1602,8.1,,,,,,,,,,
thataylaa,26,166749,9507,298,1616,8.1,,,,,,,,,,
Big Ten Network,17,7554,25,22,28,8.1,,,,,,,,,,
Alabama Crimson Tide on AL.com,17,4081,85,0,10,8.1,,,,,,,,,,
Grace Helbig,22,191925,11252,78,432,8.1,,,,,,,,,,
The Late Late Show with James Corden,24,553563,9172,237,704,8.1,,,,,,,,,,
Team Coco,23,1131669,30878,825,2518,8.1,,,,,,,,,,
Lin-Manuel Miranda - Topic,10,114671,4738,170,426,8.1,,,,,,,,,,
VLOGTOWSKI,22,197211,10688,154,1624,8.1,,,,,,,,,,
First We Feast,26,4496301,182221,1910,25963,8.1,,,,,,,,,,
Las Vegas Metropolitan Police,27,22651,0,0,0,8.1,,,,,,,,,,
Anwar Jibawi,23,2651565,98455,2376,5228,8.1,,,,,,,,,,
NBA Highlights · YouTube,17,66363,556,13,283,8.1,,,,,,,,,,
BBC News,25,1393132,4700,2510,6850,8.1,,,,,,,,,,
SUPERFRUIT,24,213622,23104,150,3346,8.1,,,,,,,,,,
Rclbeauty101,24,800255,34800,936,5177,8.1,,,,,,,,,,
SamSmithWorldVEVO,10,3271305,154628,1376,8821,8.1,,,,,,,,,,
TimandFaithVEVO,10,114984,2082,55,170,8.1,,,,,,,,,,
SORTEDfood,26,95843,3354,48,292,8.1,,,,,,,,,,
CrazyRussianHacker,28,1247617,27201,927,3153,8.1,,,,,,,,,,
Walk off the Earth,10,182251,8544,68,333,8.1,,,,,,,,,,
BuzzFeed News,22,172521,517,4760,3014,8.1,,,,,,,,,,
thejasminebrand,22,11091,28,53,40,8.1,,,,,,,,,,
AsapSCIENCE,28,661825,26961,590,2296,8.1,,,,,,,,,,
I Covet Thee,26,128599,8088,82,4189,8.1,,,,,,,,,,
Freestyle Digital Media,1,292322,1014,57,145,8.1,,,,,,,,,,
Liza Koshy,23,4481334,337008,8011,15126,8.1,,,,,,,,,,
CinemaSins,1,913421,20974,514,3270,8.1,,,,,,,,,,
ExplosmEntertainment,23,1444064,55491,3479,3198,8.1,,,,,,,,,,
ABC News,25,653512,2101,1202,4134,8.1,,,,,,,,,,
Tested,28,207862,6672,95,646,8.1,,,,,,,,,,
ToveLoVEVO,10,501454,20480,777,2046,8.1,,,,,,,,,,
Jaclyn Hill,26,1097836,68710,2316,7031,8.1,,,,,,,,,,
Nissan USA,2,160600,264,6,21,8.1,,,,,,,,,,
Kurzgesagt – In a Nutshell,27,1754556,103027,759,8657,8.1,,,,,,,,,,
Greg and Mitch,27,162346,4929,764,711,8.1,,,,,,,,,,
ScreenPrism,1,7805,501,14,54,8.1,,,,,,,,,,
CBC News,25,109754,855,46,213,8.1,,,,,,,,,,
This Morning,24,4250918,51209,1429,0,8.1,,,,,,,,,,
Tyler Oakley,24,191395,18485,138,2074,8.1,,,,,,,,,,
Peter Hollens,10,85728,8863,46,1723,8.1,,,,,,,,,,
CollegeHumor,23,725411,25889,1104,3067,8.1,,,,,,,,,,
Chris and Jack,23,45919,2497,19,183,8.1,,,,,,,,,,
TIME,25,99284,420,869,1961,8.1,,,,,,,,,,
SuperCarlinBrothers,22,207360,9854,225,2896,8.1,,,,,,,,,,
PinkVEVO,10,909757,49352,468,2115,8.1,,,,,,,,,,
PolymomoTea,26,20320,1451,7,166,8.1,,,,,,,,,,
Maroon5VEVO,10,1149528,60099,1140,2856,8.1,,,,,,,,,,
Wendy Williams,24,300633,5539,311,1546,8.1,,,,,,,,,,
NFL,17,59858,276,45,195,8.1,,,,,,,,,,
Good Morning America,24,63030,82,5,23,8.1,,,,,,,,,,
Refinery29,26,16077,662,19,86,8.1,,,,,,,,,,
Al Jazeera English,25,533692,1738,615,2254,8.1,,,,,,,,,,
schmoyoho,10,126700,8942,103,1136,8.1,,,,,,,,,,
Chloe Morello,26,141065,8347,138,292,8.1,,,,,,,,,,
Hunter Hayes,10,38516,2521,33,216,8.1,,,,,,,,,,
Nukazooka,24,207391,11611,117,652,8.1,,,,,,,,,,
Amy Macedo,26,40527,2897,39,263,8.1,,,,,,,,,,
Full Frontal with Samantha Bee,22,540938,7338,1421,1318,8.1,,,,,,,,,,
Koenigsegg,2,2685338,41510,1184,6108,8.1,,,,,,,,,,
Life Noggin,27,419694,15422,255,3561,8.1,,,,,,,,,,
SYFY,24,178831,1132,27,146,8.1,,,,,,,,,,
Late Night with Seth Meyers,23,33336,461,5,17,8.1,,,,,,,,,,
Proximity,24,257193,14815,130,406,8.1,,,,,,,,,,
Charlie Puth,10,2177310,156180,1011,13217,8.1,,,,,,,,,,
The Mom's View,22,42857,2349,74,378,8.1,,,,,,,,,,
SMTOWN,10,408912,79987,498,8288,8.1,,,,,,,,,,
JennaMarbles,23,2468747,180225,1074,20793,8.1,,,,,,,,,,
HBO,1,14739,165,9,14,8.1,,,,,,,,,,
colinfurze,2,1112304,30714,980,2319,8.1,,,,,,,,,,
Sony Pictures Entertainment,24,321099,538,26,67,8.1,,,,,,,,,,
Patricia Bright,26,351203,16280,268,2355,8.1,,,,,,,,,,
CBS This Morning,25,5907,55,11,59,8.1,,,,,,,,,,
ViralHog,22,251758,198,29,73,8.1,,,,,,,,,,
Marques Brownlee,28,2623531,71183,2033,13177,8.1,,,,,,,,,,
Nyma Tang,26,38428,3516,18,345,8.1,,,,,,,,,,
Made by Google,28,2261324,0,0,0,8.1,,,,,,,,,,
GraceVanderWaalVEVO,10,332401,30470,173,3549,8.1,,,,,,,,,,
The School of Life,27,183335,9449,143,654,8.1,,,,,,,,,,
Lukas Graham,10,123284,5731,124,689,8.1,,,,,,,,,,
Mike Boyd,24,313336,10446,165,2077,8.1,,,,,,,,,,
The Oregonian,25,482316,1000,354,0,8.1,,,,,,,,,,
ChrisFix,2,794621,30590,680,3809,8.1,,,,,,,,,,
Meet Arnold,22,1990925,58964,2580,9143,8.1,,,,,,,,,,
